Date/Time,Electricity:Facility [kWh](Monthly),NaturalGas:Facility [therm](Monthly),DistrictCooling:Facility [ton-hr](Monthly),DistrictHeating:Facility [kBtu](Monthly) 
January,86746.114623500471,1200.7932258136491,234.67182882314847,1883206.5446240723 
February,78099.616122298554,1084.5874297671692,397.71052682651907,1376141.2175901607 
March,86754.209781208876,1200.7932258136491,3777.5724322406568,986958.81202662806 
April,82521.298447928057,1162.0579604648224,12449.341289772245,472333.81228934595 
May,87463.857071131803,1200.7932258136491,21056.680167784278,304181.50083055743 
June,87645.779814737281,1162.0579604648224,91697.520060404713,156203.13842507623 
July,77988.864180161720,1200.7932258136491,133838.61696007766,124015.59484886109 
August,78697.570618416343,1200.7932258136491,137170.39184638541,140935.30111226632 
September,79064.710646588734,1162.0579604648224,96153.755686254997,172910.71740304868 
October,78707.153468935663,1200.7932258136491,28165.915073839125,421015.02510381001 
November,75734.721918958487,1162.0579604648224,7362.3680227174627,693038.45401286730 
December,77845.729116116549,1200.7932258136491,63.765335895703991,1475349.1882055388 
