Date/Time,Electricity:Facility [kWh](Monthly),NaturalGas:Facility [therm](Monthly),DistrictCooling:Facility [ton-hr](Monthly),DistrictHeating:Facility [kBtu](Monthly) ,,,,,,
January,67912.57,1200.793226,296.5984301,1631990,,,,,,
February,61136.73,1084.58743,704.8715726,1194030,,,,,,
March,67824.91,1200.793226,5062.586968,853400,,,,,,
April,64898.44,1162.05796,17360.01418,419400,,,,,,
May,68607.44,1200.793226,27900.66608,276470,,,,,,
June,69063.83,1162.05796,106867.8967,145220,,,,,,
July,62457.44,1200.793226,158159.0114,110850,,,,,,
August,62922.61,1200.793226,162172.0962,128210,,,,,,
September,64021.47,1162.05796,114010.2751,159240,,,,,,
October,63404.53,1200.793226,34268.5263,380840,,,,,,
November,60895.7,1162.05796,9666.467052,605770,,,,,,
December,62593.7,1200.793226,158.5060436,1274360,,,,,,
