Electricity [kWh],Cooling [kBtu],Heating [kbtu],,,,,,,,,,,,
67912.57,2470,1631990,,,,,,,,,,,,
61136.73,5870,1194030,,,,,,,,,,,,
67824.91,42160,853400,,,,,,,,,,,,
64898.44,144570,419400,,,,,,,,,,,,
68607.44,232350,276470,,,,,,,,,,,,
69063.83,889970,145220,,,,,,,,,,,,
62457.44,1317110,110850,,,,,,,,,,,,
62922.61,1350530,128210,,,,,,,,,,,,
64021.47,949450,159240,,,,,,,,,,,,
63404.53,285380,380840,,,,,,,,,,,,
60895.7,80500,605770,,,,,,,,,,,,
62593.7,1320,1274360,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
