Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly) 
January,312285762815.99146,126605854374.36334,2971104895.291727,1985562280166.6638 
February,281158393113.5603,114353674918.78003,5035285654.392801,1450937021023.945 
March,312314905360.4277,126605854374.36334,47826635186.822975,1040601836708.9757 
April,297076436751.3916,122521794555.83557,157617124452.86548,498006022762.76654 
May,314869633560.3677,126605854374.36334,266591886375.26355,320714324245.4082 
June,315524554913.4103,122521794555.83557,1160952944815.9543,164693065976.1466 
July,280759686440.83307,126605854374.36334,1694487881324.8347,130756070271.34914 
August,283311027577.4768,126605854374.36334,1736670416503.2646,148595393655.19144 
September,284632730621.535,122521794555.83557,1217371917425.2102,182308732566.87088 
October,283345525811.74774,126605854374.36334,356599633521.9242,443897965210.4065 
November,272644780792.42593,122521794555.83557,93212584496.9654,730706367244.3115 
December,280244400622.4991,126605854374.36334,807312503.5064259,1555537127107.9539 
