Date/Time,A_Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),A_ZONE1_OCC:Zone Air Temperature [C](Hourly),A_Delta T,A_MECHAVAILABLE2:Schedule Value [](Hourly),A_COHEATINGHEATER:Baseboard Total Heating Rate [W](Hourly),R_Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),R_ZONE1_OCC:Zone Air Temperature [C](Hourly),R_Delta T,R_MECHAVAILABLE2:Schedule Value [](Hourly),R_COHEATINGHEATER:Baseboard Total Heating Rate [W](Hourly),T_Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),T_ZONE1:Zone Air Temperature [C](Hourly),T_Delta T,T_MECHAVAILABLE2:Schedule Value [](Hourly),T_COHEATINGHEATER:Baseboard Total Heating Rate [W](Hourly)
 03/21  19:00:00,13.8125,22,8.1875,1,2807.804407,13.125,22,8.875,1,,,,,,
 03/21  20:00:00,12.9,22,9.1,1,3022.434496,12.5875,22,9.4125,1,,,,,,
 03/21  21:00:00,12.35,22,9.65,1,3137.582393,12.15,22,9.85,1,,,,,,
 03/21  22:00:00,12.1375,22,9.8625,1,3216.228922,11.8125,22,10.1875,1,,,,,,
 03/21  23:00:00,11.85,22,10.15,1,3338.074935,11.6375,22,10.3625,1,2585.705983,11.9125,21.95178377,10.03928377,1,1232.677185
 03/21  24:00:00,11.3875,22,10.6125,1,3546.194794,11.35,22,10.65,1,2733.556751,11.2375,21.94931896,10.71181896,1,1399.028901
 03/22  01:00:00,10.825,22,11.175,1,3835.730205,10.825,22,11.175,1,2897.541588,10.4,21.94604983,11.54604983,1,1581.583956
 03/22  02:00:00,10.0375,22,11.9625,1,4083.701985,10.2875,22,11.7125,1,3038.293164,9.5375,21.94253081,12.40503081,1,1725.154316
 03/22  03:00:00,9.2,22,12.8,1,4242.661431,9.7875,22,12.2125,1,3143.956064,8.8875,21.9398198,13.0523198,1,1800.464184
 03/22  04:00:00,8.4625,22,13.5375,1,4387.041734,9.2875,22,12.7125,1,3248.980473,8.3875,21.93775784,13.55025784,1,1856.078017
 03/22  05:00:00,7.6375,22,14.3625,1,4631.529291,8.6625,22,13.3375,1,3397.406706,7.5125,21.93405944,14.42155944,1,1964.457146
 03/22  06:00:00,6.4875,22,15.5125,1,4956.83008,7.775,22,14.225,1,3581.399257,5.975,21.9274928,15.9524928,1,2132.619571
 03/22  07:00:00,5.375,22,16.625,1,5241.469371,6.9,22,15.1,1,3649.425329,4.55,21.92096326,17.37096326,1,2122.250286
