House,Sensor,Start Time,End Time,Tau (hr),Ti (°C),Tf (°C),T(τ) (°C),Outdoor Start (°C),Outdoor End (°C),Outdoor at τ (°C),R²,Plot File
A,A_1_N_T  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,11.722390293282087,19.16022755411882,13.50112099393034,15.584206130334362,13.98,4.09,5.726868351938505,0.9839907789002607,A_A_1_N_T_decay.png
A,A_2_N_T  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,17.44730005305979,22.09078837361767,13.421273302851255,16.74864747619391,13.98,4.09,5.141900159179376,0.9872440219142697,A_A_2_N_T_decay.png
A,A_3_N_T  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,7.583076267133845,20.640619183691626,14.818358745372652,17.247406690000275,13.98,4.09,9.610308479439386,0.861054325657119,A_A_3_N_T_decay.png
A,A_1_N_MRT  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,11.758462907145868,18.818321594384145,13.337225300114676,15.342069799987467,13.98,4.09,5.7146112785623995,0.9817123158079609,A_A_1_N_MRT_decay.png
A,A_1_S_MRT  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,7.917743809632845,19.42934178618418,14.764339946007372,16.48809320037904,13.98,4.09,9.353537142202931,0.9373251163590063,A_A_1_S_MRT_decay.png
A,A_2_N_MRT  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,16.235250476144923,22.03249317465412,13.817259475466999,16.98311724877115,13.98,4.09,4.323450857060861,0.982622841196569,A_A_2_N_MRT_decay.png
A,A_2_S_MRT  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,7.910104664527595,22.383923218638245,16.698755214322944,19.31582528078899,13.98,4.09,9.371811603850329,0.9047656529798063,A_A_2_S_MRT_decay.png
A,A_3_N_MRT  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,7.667477332319871,20.674877702582023,14.984084745912527,17.34376620196143,13.98,4.09,9.56,0.8588495344311979,A_A_3_N_MRT_decay.png
A,A_3_S_MRT  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,5.525627741367503,22.062386833625567,17.22860405108163,19.274413561503504,13.98,4.09,11.209246710358997,0.7692314874461842,A_A_3_S_MRT_decay.png
R,R_2_W_T  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,7.2893901489289465,22.565032300385838,18.70756294698978,20.37400605779967,13.232777777777779,4.506111111111109,10.172777777777778,0.8532509688118437,R_R_2_W_T_decay.png
R,R_2_W_MRT  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,9.137797517400367,22.46473482102482,18.447768602763002,20.160707450902386,13.232777777777779,4.506111111111109,9.287222222222221,0.8989979766455176,R_R_2_W_MRT_decay.png
R,R_2_E_MRT  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,6.135565368663285,23.21861787311036,18.1198392924744,20.090294684808363,13.232777777777779,4.506111111111109,10.833888888888888,0.9320289831892286,R_R_2_E_MRT_decay.png
R,R_3_E_MRT  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,11.955821090766124,22.39290119191179,17.783280929438487,19.664290217796538,13.232777777777779,4.506111111111109,7.082379474961926,0.9527431300189863,R_R_3_E_MRT_decay.png
T,T_1_W_T  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,13.488010762041386,20.953501233322868,17.45220630915803,18.75434272005862,14.959999999999997,3.08888888888889,3.0284713108879586,0.9747653344047297,T_T_1_W_T_decay.png
T,T_2_W_T  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,10.642662888752586,23.685870366458516,19.584413442764077,20.99815870413343,14.959999999999997,3.08888888888889,6.84989455576001,0.9226125431610455,T_T_2_W_T_decay.png
T,T_1_W_MRT  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,11.82884123266933,21.254663444226935,17.856606781285087,19.127049584053506,14.959999999999997,3.08888888888889,4.843888888888889,0.9640174558356236,T_T_1_W_MRT_decay.png
T,T_1_E_MRT  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,8.25396121720292,23.424335215442056,18.856468445075965,20.279144810825862,14.959999999999997,3.08888888888889,8.76128039641784,0.9275848019593829,T_T_1_E_MRT_decay.png
T,T_2_W_MRT  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,9.912461802518159,23.546047472059172,19.676529355567656,21.09092057044695,14.959999999999997,3.08888888888889,7.851307296222761,0.8988230990899926,T_T_2_W_MRT_decay.png
T,T_2_E_MRT  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,6.352861743321814,23.355242641533266,21.149921388747305,22.238219577427117,14.959999999999997,3.08888888888889,10.193485162795056,0.8651003220542404,T_T_2_E_MRT_decay.png
T,T_3_E_MRT  [°C],2025-03-21 18:00:00,2025-03-22 18:11:00,4.097316756157324,22.74026403531292,19.73116572784489,20.99370386872238,14.959999999999997,3.08888888888889,12.00111111111111,0.7505722182875145,T_T_3_E_MRT_decay.png
